Day,Work_Hours,Sleep_Hours,Study_Minutes,Break_Time,Stress_Level,Recommended_Activity
Jumat,330,60,30,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Sabtu,630,360,30,30,3,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Minggu,60,210,40,30,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Senin,510,390,45,30,4,Berlibur Sebentar dari Teknologi: Ambil cuti sebentar dari media sosial dan teknologi.
Selasa,600,600,40,120,4,Berpartisipasi dalam Kelas Yoga atau Mindfulness: Ikuti kelas yang difokuskan pada yoga atau mindfulness.
Rabu,150,420,20,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Kamis,360,30,40,30,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Jumat,660,300,45,30,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Sabtu,540,540,35,120,1,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Minggu,90,150,30,90,2,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Senin,90,180,40,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,360,360,20,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Rabu,570,480,20,120,4,Aktivitas Fisik Intensif: Lakukan olahraga intensif untuk melepaskan energi negatif.
Kamis,90,600,40,60,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Jumat,30,210,30,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Sabtu,240,120,40,90,3,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Minggu,480,390,20,60,2,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,330,240,35,60,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Selasa,90,450,30,90,1,Membaca Buku Ringan: Baca buku yang menyenangkan dan ringan.
Rabu,540,210,40,90,4,Menggali Hobi Baru yang Menantang: Coba hobi baru yang menantang untuk mengalihkan perhatian.
Kamis,540,270,30,90,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Jumat,270,270,45,30,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Sabtu,300,120,20,60,3,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Minggu,600,540,40,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Senin,480,510,30,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Selasa,240,510,45,60,1,Menulis di Jurnal: Menulis pikiran atau perasaan Anda dapat membantu mengurangi stres.
Rabu,720,510,20,60,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Kamis,180,270,40,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Jumat,510,390,35,30,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Sabtu,60,390,30,30,3,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Minggu,30,180,45,30,2,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Senin,510,540,45,60,3,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Selasa,420,540,40,90,1,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Rabu,180,240,35,90,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Kamis,420,450,30,90,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Jumat,270,450,45,120,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Sabtu,720,90,35,60,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Minggu,150,270,30,60,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Senin,90,330,40,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Selasa,660,180,20,30,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Rabu,60,540,40,30,1,Melakukan Hobi: Luangkan waktu untuk melakukan hobi yang disukai.
Kamis,330,390,45,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Jumat,210,30,35,90,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Sabtu,720,390,30,90,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Minggu,690,270,40,90,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,60,120,20,90,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Selasa,690,390,35,120,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Rabu,720,150,30,30,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Kamis,420,390,40,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Jumat,660,60,40,120,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Sabtu,60,330,35,60,3,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Minggu,180,120,30,90,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Senin,570,330,20,90,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Selasa,600,30,35,30,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Rabu,360,330,45,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Kamis,540,600,40,120,3,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Jumat,420,540,30,90,1,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Sabtu,300,570,45,90,2,Melakukan Hobi: Luangkan waktu untuk melakukan hobi yang disukai.
Minggu,210,300,30,60,3,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,600,270,35,60,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Selasa,600,240,30,90,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Rabu,60,60,40,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Kamis,690,330,35,90,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Jumat,390,420,30,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Sabtu,690,330,30,30,2,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Minggu,390,390,40,120,3,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Senin,450,180,45,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,360,540,20,120,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Rabu,690,570,20,60,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Kamis,30,360,40,30,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Jumat,630,570,30,90,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Sabtu,720,30,30,30,3,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Minggu,360,180,40,90,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Senin,510,180,35,120,4,Aktivitas Fisik Intensif: Lakukan olahraga intensif untuk melepaskan energi negatif.
Selasa,120,420,30,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,150,510,30,120,1,Menulis di Jurnal: Menulis pikiran atau perasaan Anda dapat membantu mengurangi stres.
Kamis,270,210,40,120,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Jumat,360,150,45,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Sabtu,300,600,20,60,2,Mendengarkan Musik yang Menenangkan: Dengarkan musik yang menenangkan atau alam suara.
Minggu,180,30,40,120,3,Berpartisipasi dalam Olahraga Ringan: Olahraga ringan seperti berenang atau bersepeda dapat membantu meredakan stres.
Senin,120,390,45,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Selasa,30,180,20,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Rabu,450,210,45,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Kamis,390,390,35,60,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Jumat,240,60,30,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Sabtu,720,30,35,30,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Minggu,510,450,30,90,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Senin,570,450,40,90,4,Menggali Hobi Baru yang Menantang: Coba hobi baru yang menantang untuk mengalihkan perhatian.
Selasa,510,240,30,120,4,Menggali Hobi Baru yang Menantang: Coba hobi baru yang menantang untuk mengalihkan perhatian.
Rabu,420,570,35,120,1,Mendengarkan Musik yang Menenangkan: Dengarkan musik yang menenangkan atau alam suara.
Kamis,570,540,45,90,4,Mengorganisir Ruang Kerja atau Rumah: Rapihkan ruang kerja atau rumah untuk menciptakan lingkungan yang nyaman.
Jumat,240,450,20,90,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Sabtu,180,270,30,60,2,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Minggu,330,360,45,60,3,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Senin,450,240,20,60,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Selasa,630,30,30,120,5,Bergabung dengan Kelompok Dukungan: Bergabunglah dengan kelompok dukungan untuk berbagi pengalaman dengan orang lain.
Rabu,570,150,40,120,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Kamis,240,30,30,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Jumat,270,420,45,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Sabtu,540,480,40,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Minggu,570,510,35,90,1,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Senin,330,510,30,60,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Selasa,540,450,20,120,3,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Rabu,390,90,45,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Kamis,390,180,35,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Jumat,630,480,40,90,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Sabtu,180,30,45,90,3,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Minggu,300,180,30,30,3,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Senin,660,300,40,120,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Selasa,690,30,45,120,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Rabu,600,90,35,60,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Kamis,180,240,30,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Jumat,690,480,40,30,5,Retret Ke Meditasi: Ikuti retret meditasi yang mendalam untuk mendapatkan ketenangan batin.
Sabtu,450,330,20,30,3,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Minggu,90,240,20,120,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,660,570,40,90,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Selasa,480,540,30,60,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Rabu,570,420,40,30,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Kamis,150,120,20,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Jumat,360,300,35,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Sabtu,360,600,30,60,2,Membaca Buku Ringan: Baca buku yang menyenangkan dan ringan.
Minggu,420,570,40,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Senin,390,330,30,120,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,120,330,45,30,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Rabu,360,420,20,90,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Kamis,660,360,40,90,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Jumat,420,390,30,30,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Sabtu,390,300,45,60,2,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Minggu,330,390,20,120,2,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Senin,510,450,40,30,3,"Pentingkan Diri Sendiri: Luangkan waktu untuk merawat diri sendiri, seperti mandi panas atau spa di rumah."
Selasa,60,150,35,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Rabu,720,360,20,30,5,Bergabung dengan Kelompok Dukungan: Bergabunglah dengan kelompok dukungan untuk berbagi pengalaman dengan orang lain.
Kamis,330,180,40,30,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Jumat,480,420,35,90,3,Mengatur Waktu Libur: Jadwalkan waktu libur singkat untuk melepaskan diri dari rutinitas sehari-hari.
Sabtu,270,300,30,90,2,Bermain dengan Hewan Peliharaan: Interaksi dengan hewan peliharaan dapat meningkatkan suasana hati.
Minggu,180,390,35,60,3,Bermain dengan Hewan Peliharaan: Interaksi dengan hewan peliharaan dapat meningkatkan suasana hati.
Senin,180,60,40,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Selasa,480,60,45,60,3,Mengikuti Kelas Seni atau Musik: Ikuti kelas seni atau musik untuk menyalurkan kreativitas.
Rabu,540,150,30,120,4,Mengurangi Stimulan: Kurangi konsumsi kafein dan gula untuk membantu menstabilkan mood.
Kamis,330,210,45,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Jumat,240,300,40,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Sabtu,360,420,30,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Minggu,510,180,40,60,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,30,90,35,30,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,660,180,30,120,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Rabu,360,240,20,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Kamis,630,60,30,60,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Jumat,270,540,35,90,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Sabtu,180,330,40,30,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Minggu,720,600,30,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,30,450,30,60,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Selasa,450,30,45,120,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Rabu,600,480,40,60,4,Membaca Buku Pengembangan Diri: Pilih buku pengembangan diri yang dapat memberikan wawasan positif.
Kamis,240,480,35,120,1,Menulis di Jurnal: Menulis pikiran atau perasaan Anda dapat membantu mengurangi stres.
Jumat,330,600,30,60,1,Membaca Buku Ringan: Baca buku yang menyenangkan dan ringan.
Sabtu,510,330,45,90,3,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Minggu,330,210,20,60,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Senin,480,450,20,120,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Selasa,600,330,40,30,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Rabu,570,210,35,90,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Kamis,90,510,30,60,1,Melakukan Hobi: Luangkan waktu untuk melakukan hobi yang disukai.
Jumat,600,90,35,90,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Sabtu,330,210,40,90,2,Menghadiri Kelas Relaksasi: Ambil kelas relaksasi atau meditasi untuk mempelajari teknik-teknik baru.
Minggu,690,420,45,120,3,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Senin,300,300,30,120,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,180,300,45,30,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Rabu,180,390,40,30,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Kamis,570,390,35,60,5,"Menetapkan Batasan: Pelajari untuk menetapkan batasan dan mengatakan ""tidak"" ketika perlu."
Jumat,480,510,30,60,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Sabtu,90,420,20,90,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Minggu,480,360,45,60,3,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Senin,330,360,35,60,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Selasa,120,360,40,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Rabu,660,540,45,60,5,Mengubah Pola Hidup: Evaluasi dan sesuaikan pola hidup untuk mengurangi faktor penyebab stres.
Kamis,360,60,30,60,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Jumat,420,360,40,90,2,Menulis Tiga Hal Positif Setiap Hari: Tulis tiga hal positif yang Anda alami setiap hari.
Sabtu,540,120,30,30,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Minggu,390,240,40,120,3,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Senin,360,60,35,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,390,600,30,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Rabu,690,240,20,60,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
Kamis,120,120,35,30,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Jumat,120,150,45,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Sabtu,570,570,40,60,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Minggu,30,480,30,120,1,Berbicara dengan Teman: Berbagi perasaan dengan teman dekat atau keluarga.
Senin,30,510,45,30,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Selasa,270,420,30,120,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Rabu,630,30,35,60,5,Berpartisipasi dalam Program Kesehatan Mental: Ikuti program kesehatan mental untuk mendapatkan dukungan tambahan.
Kamis,330,570,30,30,1,Peregangan Ringan: Lakukan beberapa peregangan ringan untuk melepaskan ketegangan otot.
Jumat,510,480,40,30,3,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Sabtu,180,540,35,120,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Minggu,180,240,30,120,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,180,270,30,30,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,630,60,40,120,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Rabu,480,510,45,120,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Kamis,630,480,40,90,5,Konseling atau Terapi: Pertimbangkan untuk berkonsultasi dengan seorang profesional kesehatan mental.
Jumat,390,60,20,120,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Sabtu,690,360,40,90,3,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Minggu,600,360,45,60,3,Terapi Refleksi atau Pijat: Pijatan ringan dapat membantu mengurangi ketegangan otot.
Senin,270,390,35,90,2,Menonton Komedi Ringan: Saksikan film atau pertunjukan komedi yang dapat membuat Anda tertawa.
Selasa,120,390,30,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Rabu,360,240,40,30,2,Pendengaran Musik Relaksasi: Dengarkan musik relaksasi atau playlist yang menenangkan.
Kamis,690,270,20,120,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Jumat,690,90,20,120,5,Berlibur Jangka Panjang: Ambil cuti atau berlibur untuk benar-benar merilekskan diri.
Sabtu,660,270,40,30,2,Menonton Film Favorit: Tonton film atau acara TV yang membuat Anda tertawa atau merasa bahagia.
Minggu,510,480,30,60,1,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Senin,330,30,40,30,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Selasa,30,360,20,60,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Rabu,510,120,35,60,4,Berpartisipasi dalam Kelas Yoga atau Mindfulness: Ikuti kelas yang difokuskan pada yoga atau mindfulness.
Kamis,210,540,30,30,1,Meditasi Pernapasan: Fokus pada pernapasan untuk menenangkan pikiran.
Jumat,150,300,40,90,2,Meditasi Pintu Masuk: Coba meditasi singkat untuk meresapi momen sekarang.
Sabtu,420,330,30,120,2,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Minggu,330,150,45,60,3,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Senin,240,480,20,120,1,Melakukan Hobi: Luangkan waktu untuk melakukan hobi yang disukai.
Selasa,690,210,40,30,5,Menyusun Rencana Keuangan: Atasi stres finansial dengan merencanakan keuangan Anda.
Rabu,240,240,30,90,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Kamis,270,120,45,120,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Jumat,90,330,20,30,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Sabtu,600,600,40,90,2,Menyusun Rencana Hari: Rencanakan aktivitas harian untuk memberikan struktur.
Minggu,150,300,35,30,2,Mengatur Waktu Bersantai: Tentukan waktu untuk bersantai dan istirahat sejenak.
Senin,90,120,30,30,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Selasa,600,270,45,60,5,Mempraktikkan Mindfulness: Latih perhatian penuh untuk fokus pada momen sekarang.
Rabu,210,300,45,30,2,Berbicara dengan Sahabat: Bagikan perasaan Anda dengan sahabat dekat atau keluarga.
Kamis,30,450,40,90,1,Mendengarkan Musik yang Menenangkan: Dengarkan musik yang menenangkan atau alam suara.
Jumat,360,30,35,90,2,Melakukan Peregangan Kecil di Kantor: Lakukan peregangan kecil di meja atau kantor untuk meredakan ketegangan otot.
Sabtu,660,270,30,90,2,"Seni Kreatif: Cobalah seni kreatif seperti melukis, menggambar, atau membuat kerajinan."
Minggu,210,540,45,60,2,Berolahraga Ringan: Lakukan kegiatan fisik ringan seperti berjalan kaki atau bersepeda.
Senin,150,480,35,30,1,Berjalan-jalan di Taman: Nikmati alam dan udara segar dengan berjalan-jalan santai di taman.
Selasa,360,210,30,60,2,Memasak Makanan Favorit: Luangkan waktu untuk memasak dan menikmati hidangan favorit.
Rabu,240,600,40,30,1,Tidur yang Cukup: Pastikan Anda mendapatkan tidur yang cukup untuk pemulihan tubuh.
Kamis,600,390,20,120,5,Latihan Aerobik Intensif: Latihan ini dapat membantu melepaskan endorfin dan mengurangi stres.
